gloss	Definitions
документ , содержащий такое предложение в письменном виде	официально оформленное письмо, бумаго, обращение с предложением посетиться, посетиться куда-либо
уничиж . от имени Прохор	мужское имя
нагрудный доспех	часть одежды, защищающая грудь от ударов, порезов и т. п.
причудливые , фантастические события , происшествия	театр. спектакль, в котором действие, изображённое в спектаклях, является фантастическим
группа системных заболеваний , заключающихся в пороке развития кровеносных сосудов организма и характеризующихся их аномальным увеличением и разрастанием опухолевидного типа	мед. увеличение кровеносных сосудов
нареч . к насильственный ; осуществляя путём насилия , принуждения	нареч. к насильственный ; с помощью силы, насилием
перен. , разг . привлечь к участию в чем-либо , вовлечь во что-либо	комп. прикрепив к компьютеру, подключив к нему
представитель кочевого народа центрально-азиатского происхождения	истор. представитель одного из племен, относящихся к племени обров
техн . электромеханическое , пневматическое , гидравлическое устройство или их комбинация , предназначенное для замены человека в промышленности , опасных средах и др .	техн. человекоподобный или искусственно создаваемый человекоподобный объект
нижний край платья , юбки , пальто и т. п .	устар. и диал. длинная, широкая, обычно длинная, длинная, обычно длинная, длинная, обычно длинная, обычно длинная 
архит . криволинейное перекрытие , соединяющее две стены , опоры какого-нибудь сооружения	рельефная фигура, изображающая, как правило, кого-либо, что-либо
одуш . человек , пострадавший или погибший во имя чего-либо , вследствие преданности чему-либо , кому-либо	перен. тот, кто подвергся чему-либо нежелательному, плохому, угрожающем его жизни
сделать хорошо видимым внутреннее содержание , структуру с помощью подсветки ; проверить или исследовать с помощью лучей	перен. осмотреть, просвечив, осмотреть, просвечивать
прост . примеривать , часто наскоро ( одежду , головной убор и т . п . )	кидая, накладывая, прикреплять, прикреплять, прикреплять, прикреплять, прикреплять
перен . атмосфера нежилого места	энтомол. ; хищная птицa семейства ястребиных
ставший толстым , толще , утолстившийся	имеющий большую толщину, толщину, имеющий большую толщину
только полн . форма находящийся , имеющий место на поверхности , у поверхности чего-либо , предназначенный для использования на поверхности	расположеный на поверхности чего-либо
имеющий яйцеобразную , то есть округлую и несколько вытянутую форму	имеющий форму овца, овца
крим . жарг . обыск	крим. жарг. обыск, арест
полезный для дела	разг. достойно занимательный, деловой
полоска шёлковой ткани определённого цвета и размера для ношения орденского знака или служащая знаком отличия вместо соответствующего ордена	устар. длинная, широкая, обычно длинная, обычно длинная, обычно длинная, обычно длинная, обычно длинная, обычно длинная 
психол . явление зрительного восприятия в виде образа , возникающего после рассмотрения некоего объекта при строго фиксированном взгляде	психол. часть, часть чего-либо, являющаяся результатом чего-либо, протекающая после экспонирования
место для причаливания и стоянки судов	место, где можно пристать к судну или к чему-либо
книжн . вызванный внутренними факторами , появившийся в силу внутренних причин	книжн. происходящей внутренне, возникающий в пределах какого-либо сообщества, общества
отличающийся положительными качествами ; порядочный	обладающий добропорядочностью, порядочностью
грубо , порывисто , с прямотой , нелицеприятно	перен. о ком-либо, чём-либо выражая сильное несогласие, неодобрение
о птицах : имеющий хохолок на голове .	о птицах : о хвосте, о яйце : о птицах : о яйце, о хвосте : о птицах : о яйце, о хвост
перен . прост . ругать , поносить	перен., разг. вести себя погано, вести себя нечисто, нечистосердечно
разг . вносить вклад , делать взносы	перен. приводять в высшую степень, поднимать, поднимать
относящийся к юристам , а также к изучению правоведения , юриспруденции	относящийся к праву, закону, к правовой системе
органическое соединение класса гетероциклов , пятичленный цикл с двумя атомами азота и тремя атомами углерода в цикле , изомерен пиразолу	ароматический гетероцикл с двумя гетероатомами
( у покрытосеменных растений ) внутренний слой клеток ( или несколько слоёв ) пыльника	лингв. часть речи, выражающая действие или состояние, выраженное словом
мифол . женск . к демон ; демоническое существо женского пола	женск. к демон
женск . к атеист	женск. к атеист
матем . решение уравнений поля в некоторых теориях поля в 1+1 измерениях , интерполирующее между двумя вакуумами при изменении пространственной координаты от -∞ до +∞ ?	спорт. действие по значению гл. кинкать ; движение вверх, обычно в ходе спортивной тренировки
ограждать от каких-либо враждебных действий , неблагоприятного , вредного воздействия , влияния ; охранять , оберегать	ограждать, предохранять от чего-либо
перен . лицемерный , неискренний	перен., разг. склонный к двуличному поступку ; лицемерный, хитрый
юридическая наука о методах расследования преступлений , собирания и исследования судебных доказательств	наука о преступлениях, о преступлениях и их расследовании
мужское имя	мужское имя
привести в крайнее расстройство ; потрясти	перен., разг. сильно утомив, утомиться, утомиться
издохший , палый , мёртвый ( о животном )	о животных : мертвый, мёртвый
сравн . ст . к нареч . мило	сравнительная степень прилагательного милый
устар . встреча	церк. действие по значению гл. срещать, срещаться ; встреча, встречаться
псевдоним	фамилия
процесс приобретения формы	действие по значению гл. формовать
глава нома — одной из существовавших до 2011 года административных единиц Греции второго уровня	полит. в Греции — губернатор области
целое число между 1 ( один ) и 3 ( три )	матем. число, равное двум
разг . удар ладонью по щеке , по голове ; пощёчина	перен., разг. удар ногой по спине, по плечу
имеющий только одну голову ?	имеющий одну главу
объединённые , сведённые вместе данные , сведения о чём-либо ; документ , содержащий такие сведения	краткое сообщение о состоянии чего-либо
прекратить излучение света чем-либо	отключать свет, освещение, обычно используемое для освещения чего-либо
защитное покрытие от ударов и повреждений тела человека	книжн. защита, защитник
высвободиться силой	перен. о человеке, животном и т. п. : выйти, убежать, броситься
биол . одна из двух нитей , образующихся при удвоении хромосом в процессе клеточного деления	генет. часть хромосомы, являющаяся носителем ДНК
обсц . удивительный , потрясающий	обсц. очень хороший, отличный
перен. , книжн. , неодобр . начальник , администратор , представляющий власть более высокого начальства и действующий самовластно , деспотически , не считаясь с законами	истор. в Средней Азии и Закавказье — правитель, обладавший властью, но не имевший политического, экономического или иного влияния
действие по значению гл . опростить , опроститься ; усвоение образа жизни и привычек крестьянства , простого народа , добровольный отказ от привилегий цивилизованных слоев общества	действие по значению гл. опрощать, опростить
выведение ; уничтожение	действие по значению гл. свести ; снятие, уничтожение, истребление
с большим старанием , прилежанием , рвением ; с усердием	нареч. к усердный ; с большим трудом, стараниями
разг . сильно поранить , рассечь	кого. ; разг. сильно ударив, расколоть
муз . аккорд из трёх звуков , второе обращение трезвучия , при котором квинтовый тон трезвучия располагается в басовом голосе	муз. музыкальный аккомпанемент из четырёх звуков, расположенный в одной октаве и состоящий из четырёх звуков
выражающий меланхолию ; исполненный меланхолии ; грустный , унылый	перен. выражающий меланхолию
устар . беспрепятственный	такой, которому нет препятствий ; свободный, не препятствующий чему-либо
направленный против советского строя , Советского Союза , враждебный ему	направленный против Советского Союза, Советской власти, Советского Союза
нареч . к стерильный ; будучи полностью обеззараженным от микроорганизмов	нареч. к стерильный ; исключая возможность проникновения в организм чего-либо нежелательного
нареч . к неглубокий ; на небольшой глубине	нареч. к неглубокий ; незначительно, незначительно по глубине
свойство или состояние по значению прилагательного региональный	свойство по значению прилагaтельного региональный
фарм . устар . феноловый эфир салициловой кислоты C13H16O3 , применяемый как дезинфицирующее средство при заболеваниях кишечника и мочевых путей	хим. химический элемент с атомным номером 46, обозначается химическим символом C10H16
перен. , обычно мн . ч . ( в устар . фразеологизмах писать мыслете , выписывать мыслете , выделывать мыслете , писать ногами мыслете , выписывать ногами мыслете , выделывать ногами мыслете и т . п . ) : неровная , извилистая , ломаная линия , сложные фигуры , вензеля , кренделя , петли , зигзаги	устар. и диал. ; кушанье
мужское имя	мужское имя
мед . широкое распространение какой-либо инфекционной болезни	мед. чрезвычайно сильный распространение какой-либо болезни, обычно вследствие её чрезвычайной остроты и тяжёлого поражения
бухта в заливе Советская Гавань	бухта в Японском море
исч . тонкий лист , пластина из стекла	прозрачный, обычно прозрачный материал, изготовленный из стеклянной рамы
религ . предмет , ставший объектом религиозного поклонения и обладающий — по представлению верующих — чудодейственной силой	религ. предмет культовой ценности, являющийся предметом религиозного почитания, являющийся предметом религиозного почитания и т. п.
руководящая , ведущая роль , активность в какой-либо ситуации	действие по значению гл. инициативный ; желание, стремление, возможность действовать по собственному почину, инициативно действовать
разг . тот , кто ждёт кого- , чего-либо , пребывает в ожидании чего-либо	разг. тот, кто любит ждать, ожидать чего-либо
направив чье-либо движение , гоня , заставить приблизиться к кому-либо , чему-либо , куда-либо	разг. привести в движение, привести в движение быстрее
неол. , жарг . находиться в задумчивости , в трансе ; уйти в себя	прост. сделать что-либо, сделать что-либо быстро, резко
имеющий номер пятьдесят в ряду однородных объектов , следующий сразу же за сорок девятым	относящийся к пятидесятому году, тысячелетию, пятидесяти дням
государственный строй , образ правления	полит. система государственного управления, политическая система, правила и порядок ведения государство
ботан . травянистое растение семейства злаков , засоряющее хлебные и льняные посевы	ботан. кустарник, трава, растущая в тени, на месте прежнего посева
мед . наличие глюкозы в моче ; симптом сахарного диабета	мед. повышенное выделение глюкозы из мочевого пузыря
нареч . к подвижный	нареч. к подвижный ; легко и свободно двигаясь
выделенные в пластины элементы протектора покрышки	спец. мягкая резиновая покрышка, используемая для крепления шипов и пластин
муз . деревянный или металлический , реже костяной духовой музыкальный инструмент высокого тембра , имеющий форму цилиндрической трубки с отверстиями и клапанами ; фистула	муз. музыкальный инструмент, изготовленный из дерева или металла и имеющий длинную трубку с длинным стержнем, служащий для игры на флейте [ 1 ]
религ . речь религиозно-нравственного содержания	церк. речевое действие по значению гл. проповедать ; кратко и убедительно излагаемое учение, обычное в церкви
истор. , субстантивир . в структуре некоторых организаций — руководитель звена	воен. в армии — командир звена
органическое соединение , содержащее циклы , в состав которых наряду с углеродом входят и атомы других элементов	хим. органическое соединение, состоящее из двух одинаковых атомов углерода и одного атома водорода
действие по значению гл . определяться ; обусловливание , задача какого-либо действия , выбор	действие по значению гл. определять, определиться
истор . территория , занимавшая северную часть современной республики Вьетнам в период китайской колонизации и самую узкую центральную часть современной республики Вьетнам в период французской колонизации Индокитая 1874-1949 гг	река в Индокитая
на одном уровне с кем-либо или на одной линии с чем-либо	разг. одинаково, одинаково низко, одинаково низко
перен . обсуждать , анализировать , изучать	принимая во внимание, принимая во внимание, принимая во внимание
свойство по прилагательному экстравагантный	свойство по значению прилагательного экстравагантно ; необычная, нелепая, необычная манера поведения, действия
устар . рассказывать	прост. говорит, рассказывать, рассказывать, рассказывать, рассказывать, рассказывать
денежное или материальное возмещение , вознаграждение за причинённый ущерб или затраченные усилия ; удовлетворение каких-либо нужд , требований или желаний	устар. положение, состояния, положение военнослужащего
устар . господство премьеров в театральной труппе	разг. действие по значению гл. премьерствовать ; премьерироваться
субстантивир . своенравный , сумасбродный человек	прост. склонный к блажи, склонный к лени, к склонности к роскоши
психол . устойчивая система социальных черт , характеризующая индивида как члена общества	человек как субъект общественного поведения
нареч . к патетический ; с пафосом , страстно , эмоционально	нареч. к патетический ; с преувеличенной силой, торжественно, торжественно, торжественно
связанный , соотносящийся по значению с существительным бобина	изготовленный из бобины
совершить какую-либо каверзу , сделать что-либо во вред другому	совершить, осуществить
ослабив контроль , позволять чему-либо произойти , случиться	не исключать, не исключать, не исключать
протяжное завывание ; вой	громкий, отрывистый звук, издающийся птицами, зверями и т. п.
воздействуя на волю , сознание , побудить к чему-нибудь , заставить усвоить что-нибудь	перен. вызвать, возбудить в ком-либо какие-либо чувства, желания
уменьш.-ласк . к район	уменьш.-ласк. к район
центральная часть колеса , соединяемая спицами с ободом	рег. ступа
восточное мясное кушанье , круглый , иногда открытый пирожок из пресного теста с начинкой из баранины , приготовляемый на пару	кулин. блюдо узбекской кухни, представляющее собой лепёшки из теста с начинкой из баранины, лука, рыбы и т. п.
название , имя , даваемое животному	прозвище, даваемое человеку ( обычно в шутку, в насмешку, в целях конспирации и т. п. )
количество цитат из какого-либо источника , ссылок на него как на источник информации , появившихся в других работах	свойство по значению прилагательного цитируемый
церк . высшая монашеская степень в православной церкви , требующая от посвященного в нее строгого аскетизма	религ. монахиня, принявшая схиму ( обычно в православии )
анат . Шаблон : t : = ; тж . поверхностная часть надпочечников	анат. наружная оболочка головного мозга
перен. , пренебр . жадина	перен., бран. еврей
давать , класть , наливать , насыпа́ть и т. п. к уже имеющемуся ; пополнять недостающее	вносить, вводить что-либо в состав чего-либо
перен. , книжн. , поэт . что касаться , покрывать , обдавать собою ( преимущ . о стихиях , явлениях природы )	перен., разг. о горных породах, о горных породах и т. п. : о дыме, о горных породах : о дыме, о горных породах
зоол . простейшее животное класса саркодовых с шаровидным телом , от которого в виде лучей отходят нитевидные отростки	одноклеточный организм, представитель рода одноклеточных, обитающих в тропических и субтропических водах
свойство или состояние по значению прилагательного темпоральный	свойство по значению прилагательного темпорально́й
театр лёгкого , преимущ . комического жанра , в репертуар которого включаются различные виды сценического искусства	истор. зритель, обычно являющийся членом варьета [ 1 ]
сокр . от государственный обвинитель ; должностное лицо органа прокуратуры , поддерживающее от имени государства обвинение в суде по уголовному делу	лицо, представляющее интересы государства в судебном процессе
прост . рьяно , с усердием	нареч. к лютый ; очень, очень серьезно
матем. , лог . в логико-математическом исчислении — аналог подлежащего или дополнения естественных языков , т. е. выражение , обозначающее ( или описывающее ) какой-либо объект из универсума — предметной области предполагаемой модели этого исчисления	лингв. часть речи, являющаяся частью речи
действие по значению гл . увековечить ; продление существования чего-либо в веках	действие по значению гл. увековечивать ; сохранение в памяти поколений, для будущего поколения
книжн . грубый или жестокий ; выражающий грубость или жестокость	перен. грубый, грубоватый, грубоватый
перен . разг . ( часто в сочетании `` с прицепом '' ) : добавка , довесок к чему-либо	разг. прицепляемый, прикреплённый к чему-либо груз
свойство по значению прилагательного фемининный ; наличие женских качеств , женственность	свойство по значению прилагательного фемининный
совершаемый пешком	относящий к пешеходам, совершаемый пешком
группа , отряд участников такого путешествия	группа лиц, осуществляющая какое-либо исследование
рег . то же , что родник или колодец	часть крыши, крыши, крыши
устар . и диал . соблюдать пост , поститься	интернет. размещать пост ( статью ) на сайте, в блоге, на форуме и т. п.
передавать право представлять где-либо чьи-либо интересы	передавать ( передать ) какие-либо полномочия, поручения кому-либо, чему-либо
составляющий единое целое , неразрывно связанный с чем-либо	книжн. неотделимый, неразлучный
биол . не вылупившийся из яйца , задохшийся цыплёнок	разг. яйцо, испорченный, испорченный, испорченный
нар.-поэт. , разг . по ком-чём , о ком-чём и без доп . горевать , тосковать , скорбеть , печалиться	перен., разг. испытывать тяжёлое душевное мучение, скорбь
ботан . травянистое растение семейства злаков , засоряющее хлебные и льняные посевы	с.-х. зерно, остающееся после жатвы и не используемое в качестве кормовой и плодово-сырьёвой продукции
тот , кто награждён дипломом	тот, кто защищает диплом в конкурсе, награждённом орденом или медалью
наука о языке , языковедение , языкознание	науко о языке, о языковых законах и явлениях
собир. , кулин . засоленные , квашеные , моченые и замаринованные грибы , овощи , зелень , фрукты , ягоды и т. п .	устар. соль
вещество , материал для замазывания чего-либо	действие по значению гл. замазывать, замазываться ; замазывание
лицо , посылаемое с каким-либо спешным поручением	тот, кто доставляет, передает что-либо по почте, по телефону
жарг . угодничать , быть на побегушках	разг. вести себя, действовать, как шейер
перен . выражающий сильное огорчение , разочарование , горечь	перен. очень тяжёлый, тягостный, мучительный
представитель буржуазии	собир. владельцы мелких, среднего классов
церк . раскол , отделение от ранее единой церкви какой-либо её части	полит. политическая борьба, возникшая в революционной партии, в церковной и духовной иерархии, и выражающаяся в нарушении единства церковной власти и в нарушении един
устанавливаемый на полу	устанавливаемый на полу
малый военный корабль специального или вспомогательного назначения	морск. судно, предназначенное для перевозки пассажиров и грузов
затхлый , несвежий ( о воде , воздухе )	перен., разг. плохо очищенный, плохо прожаренный, плохо охлаждённый
биол . женский гаметангий водорослей и некоторых грибов	представитель рода ооспор
свойственный отцу , характерный для отца	свойственный отцу, характерно для него
женск . к педофил	женск. к педофил
спец. , рег . в деревообрабатывающей промышленности : нижняя , комлевая часть ствола хвойного дерева , срубленного с одним из ответвлений корня , образующим крюк ; копань ( используется при постройке деревянных судов , на застрехи кровель крестьянских изб и т . п . )	рег. ( южн. ) часть корня деревьев, служащая для их изготовления, крепления, крепления, изготовления чего-либо
перен. , бран . человек , совершающий злые и разрушительные поступки , деяния	перен., бран. человек, противник Христу
нареч . к юмористический	нареч. к юмористический ; с юмором, с юмором
кондитерское изделие из слоёного теста в форме рогалика	кулин. маленький итальянский и итальянский шоколад с начинкой из фруктов, яиц и т. п.
лучший , выделяющийся чем-либо среди других , привилегированный	только полн. ф. о людях, обладающих какими-либо качествами, качествами, обладающий какими-либо достоинствами
устар . восточный саам , представитель финно-угорской народности , составляющей коренное население севера Скандинавии	орнитол. птицеядное млекопитающее семейства лопасовых ( лат. Panthera pardus )
сильно развитая отрасль какого-либо вида деятельности	перен. сфера деятельности, связанная с каким-либо предпринимательским делом
улица , переулок , дорога и т. п. , не имеющие сквозного прохода или проезда ; также непроезжий или непроходимый конец улицы , дороги и т. п .	разг. тупой угол, уголок, уголок, уголок
научная и практическая дисциплина , изучающая мышечное движение во всех его проявлениях	науко о движении, о движениях организмов
полит . заморская территория Великобритании на юге Пиренейского полуострова	геогр. международный порт на южном побережье Испании
слегка , несколько сутулый	имеющий сутулость, сутулость в форме овала
система определённых правил , способов , приёмов изучения чего-либо , освоения чего-либо || воспитание , обучение в духе каких-либо правил , принципов	перен. опыт, опытность, опыт, опыт, опыт
Шаблон : t : = ; такой , как у попугая	имеющий форму попугайа, похожий на него
устар . формула вежливого обращения к близко знакомому лицу ( преимущественно в письмах )	превосх. ст. к прил. добрым
устар . парикмахер ( часто владевший также элементарными приёмами врачевания )	истор. в Российском государствe до 1917 г. : работник, занимающийся цирюльничеством
психиатр . неконтролируемое автоматическое повторение слов , услышанных в чужой речи	разг. болезненное состояниё, характеризующееся постоянным ощущением страха перед источником света
кулин . то , чем приправляют кушанья для придания вкуса	кулин. добавление к чему-либо, служащее для придания чему-либо дополнительного вкуса, аромата
мешок , упаковка тюка с товаром	перен., разг. большое количество чего-либо
имеющий цвет растущей листвы , травы и другой растительности , содержащей хлорофилл || субстантивир . этот цвет	имеющий цвет, получающийся смешением зелёного и красного
биол . движение микроорганизмов , одноклеточных или подвижных клеток многоклеточных организмов к источнику света или от него	биол. действие света на клетки, характеризующееся их отрицательным воздействием на них
анат . мышечная трубка , расположенная в малом тазу самок приматов и соединяющая матку с внешней средой ; конечный отдел половых проводящих путей	анат. половой орган женщины
спец . написание путем передачи букв одного алфавита буквами другого алфавита	лингв. способ написания, при котором буквы, которые изначально написаны, заменяются на латинские буквы
самочувствие	состояния физического и душевного достатка, благополучия, физической силы, способности к действию, к осуществлению чего-либо
устар. , высок . подумать , помыслить , счесть	признать, считать, считать что-либо достойным, достойным, заслуживающим доверия
устар . крестьянин , земледелец	человек, живущий на селе, житель сельского места
повязка , накладка для защиты коленей	часть одежды, предназначенная для накалывания, закалывания, завязывания чего-либо
имеющий только две двери , дверцы	имеющий две двери
книжн . резкое выступление против кого-либо , чего-либо ; оскорбительная речь , брань , выпад	полит. действие по значению гл. инвеективировать ; требования, высказывания, обращённые к кому-либо или чему-либо с целью добиться изменения ситуации, приведения к изменениям
центральная осевая часть скелета позвоночных животных и человека , опора для крепления остальных костей , состоящая из цепочки сочленённых костных или хрящевых позвонков , облекающая дугами позвонков спинной мозг ; Шаблон : t : =	часть туловищa позвоночных животных и человека
собир. , разг . служащие , работники этого органа	сокр. от таможенная служба ; орган государственного управления, осуществляющий контроль за оборотом товаров и услуг через границу
собираться где-либо , приехав из разных мест ( о многих , многом )	объединяться, жить вместе
перен. , разг . много ; значительное количество	подвижной состав железнодорожного транспортного средства
связанный , соотносящийся по значению с существительным вода ; свойственный , характерный для неё	относящийся к воде, находящийся в воде
незаросшее деревьями место , поляна или лужайка в лесу	перен. дыра, дыра в чём-либо
отнестись к чему-либо с вниманием , принять к сведению	внимателно, внимательно выслушав, уяснив что-либо
разг . то , что является повторением старого ( чего-либо ранее созданного , сказанного , написанного и т . п . ) , уже всем хорошо известного	перепевание, повторение чего-либо
нар.-поэт . громкий беспорядочный птичий крик	громкий, отрывистый звук, издающийся при ударе о что-либо
геол . серия морских осадочных горных пород , которые имеют преимущественно обломочное происхождение и характеризуются чередованием нескольких литологических слоев	геол. геологический ярус, относящийся к палеозойской группе, образующемуся в результате образования и распада вулканических пород
Шаблон : t : = ; сооружение для отвода дыма из зданий ; дымоход	длинная металлическая трубa
жарг . пренебр . никчёмный , незначительный ( о человеке )	прост. неинтересной, неинтересной, неинтересной, неинтересной
свойство по значению прилагательного крупный	свойство по значению прилагaтельного крупный
такой , как другие ; обычный , соответствующий норме	книжн. относящийся к нормальному состоянию, нормальное состояние чего-либо
увлекаться чем-либо , поддаваться очарованию чего-либо	испытывать любовное влечение к кому-либо, чему-либо
тратя , израсходовать ( обычно неразумно , легкомысленно )	разг. потратить зря, неэффективно
окончательный текст , беловая рукопись ; чистовик	разг. документ, содержащий белый лист бумаги
перен. , часто с доп . в род . п. : передняя по ходу движения часть чего-либо протяжённого ( группы , колонны , поезда )	перен. часть транспортного средства, расположенная впереди, выше остальных
броском поместить что-либо поверх чего-нибудь , на что-нибудь	набить, наколоть что-либо удочкой
телевизионный канал	сокр. от телевизионная сеть
микробиол . микроорганизм , подвижная грамотрицательная бактерия семейства Vibrionaceae , имеющая форму палочки , изогнутой в виде запятой , или прямой , снабжённой одним или двумя полярно расположенными жгутиками	возбудитель инфекционной болезни
театр . короткая ( часто в одном-двух действиях ) комическая пьеса , в которой диалоги чередуются с пением куплетов и танцами }	разг. лёгкая, несерьёзная, обычно смешная, комическая пьеса
издавать резкие , гортанные звуки , похожие на `` кар-кар '' ( о крике вороны , ворона и некоторых других птиц )	орнитол. издавать характерный для некоторых видов птиц крик, обычно о тревоге, опасности, неприятностях и т. п.
действие по значению гл . пересдавать , пересдать	действие по значению гл. пересдать ; повторная сда́жа чего-либо, передачa чего-либо в другую собственность
