word	definition	source	annotation	filler	mistake
место	часть пространства, предназначенная для какого-либо действия	"- 3.1 Одновременно с Договором или в любое время в период действия Договора КЛИЕНТ подает в дополнительный офис по <b>месту</b> обслуживания«Заявление на подключение к услуге«Электронный банк»(Приложение 1).
- Хорошее <b>место</b> для размышлений о соотношении искусства и жизни, красоты и решеток галерей внутреннего двора гауптвахты!
- В последнем случае необозримые, бесконечные камыши, проросшие кустами и лесом, с озерами более или менее глубокими, представляют самые благонадежные, просторные и крепкие <b>места</b> для вывода и укрывательства с молодыми всякой птице и преимущественно водяной дичи.
- Золотая лихорадка, разыгравшаяся в Овсянке, натолкнула искателей золота на мысль произвести разведки и в других <b>местах</b> по течению Зеи.
- К сезонным миграциям относят также кочевничество, паломничество к святым <b>местам</b>.<hr>"	-2	"- Центральное <b>место</b> в пантеоне фракийцев занимала безымянная«Великая мать богов», превратившаяся у греков в охотницу Артемиду, в архаическую эпоху требовавшую даже человеческих жертв.
- Контора устроилась прекрасно, экипажи были отличны; цена за <b>места</b> назначена была самая умеренная, от города до Москвы брали всего четыре целковых.
- -- Но разве от нас вы не могли бы ездить в присутственные <b>места</b>?<hr>"	wrong meaning
место	положение, положение какой-либо организации, коллектива, места, предназначенные для них	"- Центральное <b>место</b> в пантеоне фракийцев занимала безымянная«Великая мать богов», превратившаяся у греков в охотницу Артемиду, в архаическую эпоху требовавшую даже человеческих жертв.
- Контора устроилась прекрасно, экипажи были отличны; цена за <b>места</b> назначена была самая умеренная, от города до Москвы брали всего четыре целковых.
- -- Но разве от нас вы не могли бы ездить в присутственные <b>места</b>?<hr>"	0	"- 3.1 Одновременно с Договором или в любое время в период действия Договора КЛИЕНТ подает в дополнительный офис по <b>месту</b> обслуживания«Заявление на подключение к услуге«Электронный банк»(Приложение 1).
- Хорошее <b>место</b> для размышлений о соотношении искусства и жизни, красоты и решеток галерей внутреннего двора гауптвахты!
- В последнем случае необозримые, бесконечные камыши, проросшие кустами и лесом, с озерами более или менее глубокими, представляют самые благонадежные, просторные и крепкие <b>места</b> для вывода и укрывательства с молодыми всякой птице и преимущественно водяной дичи.
- Золотая лихорадка, разыгравшаяся в Овсянке, натолкнула искателей золота на мысль произвести разведки и в других <b>местах</b> по течению Зеи.
- К сезонным миграциям относят также кочевничество, паломничество к святым <b>местам</b>.<hr>"	repetitions, wrong meaning
слово	лингв. часть речи, выражающая мысль, действие, смысл	"- Два высших образования, большая библиотека, любит театр и кино-- попрекать начнет, что не там ударение ставлю в <b>словах</b>, за столом не научился сидеть.
- Интуиция Можно читать на неизвестном языке, подставляя под звуки и буквы чужих <b>слов</b> похожие из своего языка.
- -- Простите меня, княжна,-- заговорил он, не смея взглянуть на Соню,-- ради бога, не говорите ни <b>слова</b>.
- Хотя не все сии изменения, однако великую часть оных имеет в себе человеческое <b>слово</b>.
- Новые <b>слова</b> появляются, исчезают, к современному жаргону приходится привыкать, как к реалиям новой жизни, пуристом не надо быть-- неправильно и бесполезно.<hr>"	1	"- Вѣроятно, в ней надо видѣть отзвук тѣх <b>слов</b> Керенскаго, которыя в записи Ан. Вл. гласили:«Миша может погибнуть, с ним и онивсѣ».
- Но новонайденный текст, так же как и лопарёвский, будучи слит с текстом жития Александра Невского, озаглавлен:«Житие блаженного великаго князя Александра Ярославича всея Русии Невского», без названия его вступительной части«<b>Словом</b> о погибели Рускыя земли».
- Обстановка уже достаточно накалилась, когда <b>слово</b> для ответа было предоставлено Бухарину.
- Выпив, не закусывая, три рюмки водки«Довгань хлебная», Иван оскорбил ее качество <b>словом</b>, снял дубленку, шапку, шарф, куртку, жилетку, ботинки, рубашку, майку, кожаные штаны, кальсоны, носки и остался в одних нательных красных трусах с петухами.
- При этом, по его <b>словам</b>, выходило, что зачастую местные власти палец о палец не бьют, чтобы реструктуризировать долги коммунальных контор.<hr>"	somewhat similar words but not a definition
слово	действие по значению гл. говорить ; высказывание, высказывание, высказывание	"- Вѣроятно, в ней надо видѣть отзвук тѣх <b>слов</b> Керенскаго, которыя в записи Ан. Вл. гласили:«Миша может погибнуть, с ним и онивсѣ».
- Но новонайденный текст, так же как и лопарёвский, будучи слит с текстом жития Александра Невского, озаглавлен:«Житие блаженного великаго князя Александра Ярославича всея Русии Невского», без названия его вступительной части«<b>Словом</b> о погибели Рускыя земли».
- Обстановка уже достаточно накалилась, когда <b>слово</b> для ответа было предоставлено Бухарину.
- Выпив, не закусывая, три рюмки водки«Довгань хлебная», Иван оскорбил ее качество <b>словом</b>, снял дубленку, шапку, шарф, куртку, жилетку, ботинки, рубашку, майку, кожаные штаны, кальсоны, носки и остался в одних нательных красных трусах с петухами.
- При этом, по его <b>словам</b>, выходило, что зачастую местные власти палец о палец не бьют, чтобы реструктуризировать долги коммунальных контор.<hr>"	0	"- Два высших образования, большая библиотека, любит театр и кино-- попрекать начнет, что не там ударение ставлю в <b>словах</b>, за столом не научился сидеть.
- Интуиция Можно читать на неизвестном языке, подставляя под звуки и буквы чужих <b>слов</b> похожие из своего языка.
- -- Простите меня, княжна,-- заговорил он, не смея взглянуть на Соню,-- ради бога, не говорите ни <b>слова</b>.
- Хотя не все сии изменения, однако великую часть оных имеет в себе человеческое <b>слово</b>.
- Новые <b>слова</b> появляются, исчезают, к современному жаргону приходится привыкать, как к реалиям новой жизни, пуристом не надо быть-- неправильно и бесполезно.<hr>"	redundant space, repetitions, wrong meaning
год	один из тысячелетий, а также период с того времени	"- И еще: города будущего(графика)-- это то, что только в последние <b>годы</b> стали«открывать» западные футурологи.
- С 1983 <b>года</b> началось их уничтожение в архивах министерских учреждений.
- Таких измерительных шкал существует несколько, и одну из них предложил в 1935 <b>году</b> американский сейсмолог Чарльз Рихтер.
- Конечно, онъ преувеличивалъ,-- я за этотъ <b>годъ</b> хорошо испыталъ необыкновенную ясность и стройность того логическаго зодчества, которому предавался мой сильно развитый, но вполнѣ нормальный разумъ.
- И только один из нас, русский профессор физики во Франкфуртском университете Февицкий, прекрасный христианин и настоящий ученый(после, в 1925-1926 <b>годах</b>, испанское правительство вызывало его в Барселону организовать физический факультет в университете, оттуда проездом он посетил меня в Париже и говорил на тему необычной сжимаемости материи), не вынес этого насилия и подал просьбу о сложении своих полномочий.<hr>"	-2	"- Неужели впереди новые обострения, неужели через несколько <b>лет</b> она будет нести ту же словесную окрошку, что несет непрерывно Ира Либих?!
- Хватит пятнадцать <b>лет</b> заниматься донорством в сценарном отделе киностудии, хватит готовить заявки-поправки, сочинять заключения-представления, умничать на редсоветах-худсоветах...
- Александров назовет свое имя и <b>год</b> выпуска, но священник только покачает головою с жалостным видом.
- Вопреки мнению исследователей, суп начали продавать именно в такой упаковке, и, по данным самой компании, за <b>год</b> продажи увеличились в 10 раз.
- Ровно десять <b>лет</b> тому назад в Константинополе, когда еще никто не знал его, кроме самых близких людей и товарищей по службе,-- я сказал ему так:<hr>"	somewhat similar words but not a definition
год	один из тысячелетий, а также период времени в таком периоде	"- Неужели впереди новые обострения, неужели через несколько <b>лет</b> она будет нести ту же словесную окрошку, что несет непрерывно Ира Либих?!
- Хватит пятнадцать <b>лет</b> заниматься донорством в сценарном отделе киностудии, хватит готовить заявки-поправки, сочинять заключения-представления, умничать на редсоветах-худсоветах...
- Александров назовет свое имя и <b>год</b> выпуска, но священник только покачает головою с жалостным видом.
- Вопреки мнению исследователей, суп начали продавать именно в такой упаковке, и, по данным самой компании, за <b>год</b> продажи увеличились в 10 раз.
- Ровно десять <b>лет</b> тому назад в Константинополе, когда еще никто не знал его, кроме самых близких людей и товарищей по службе,-- я сказал ему так:<hr>"	2	"- Понадобилось несколько <b>лет</b>, чтобы наконец избавиться от горняцкой, пролетарской, жившей по всему Советскому Союзу мужниной родни.
- -- Сколько ж тебе ныне <b>лет</b>?
- Спустя <b>годы</b> я снова услышу этот Володин крик с экрана, в финальной сцене«Каменного гостя».
- Только тот, кто долго, многие и лучшие <b>годы</b> своей жизни мечтал об исполнении какого-нибудь серьезного плана, кто не жалел ничего для исполнения, начал уже это исполнение, презирая много препятствий,-- и вдруг увидел, что все планы его разбиты, в состоянии понять, что происходило во мне...
- И почему-то совесть все эти <b>годы</b> не тревожила его.<hr>"	somewhat similar words but not a definition, repetitions
год	один из тысячелетий, а также период времени в течение этого года	"- Понадобилось несколько <b>лет</b>, чтобы наконец избавиться от горняцкой, пролетарской, жившей по всему Советскому Союзу мужниной родни.
- -- Сколько ж тебе ныне <b>лет</b>?
- Спустя <b>годы</b> я снова услышу этот Володин крик с экрана, в финальной сцене«Каменного гостя».
- Только тот, кто долго, многие и лучшие <b>годы</b> своей жизни мечтал об исполнении какого-нибудь серьезного плана, кто не жалел ничего для исполнения, начал уже это исполнение, презирая много препятствий,-- и вдруг увидел, что все планы его разбиты, в состоянии понять, что происходило во мне...
- И почему-то совесть все эти <b>годы</b> не тревожила его.<hr>"	0	"- И еще: города будущего(графика)-- это то, что только в последние <b>годы</b> стали«открывать» западные футурологи.
- С 1983 <b>года</b> началось их уничтожение в архивах министерских учреждений.
- Таких измерительных шкал существует несколько, и одну из них предложил в 1935 <b>году</b> американский сейсмолог Чарльз Рихтер.
- Конечно, онъ преувеличивалъ,-- я за этотъ <b>годъ</b> хорошо испыталъ необыкновенную ясность и стройность того логическаго зодчества, которому предавался мой сильно развитый, но вполнѣ нормальный разумъ.
- И только один из нас, русский профессор физики во Франкфуртском университете Февицкий, прекрасный христианин и настоящий ученый(после, в 1925-1926 <b>годах</b>, испанское правительство вызывало его в Барселону организовать физический факультет в университете, оттуда проездом он посетил меня в Париже и говорил на тему необычной сжимаемости материи), не вынес этого насилия и подал просьбу о сложении своих полномочий.<hr>"	somewhat similar words but not a definition
работа	действие по значению гл. работать ; совокупность действий, совершаемых человеком в процессе выполнения какой-либо деятельности	"- В поздний час светлой ночи перегородили мы озерцо двумя связанными мережками, приткнули плот шестом к берегу и полюбовались своей <b>работой</b>: сети стояли-- лучше некуда!
- Завершением этих летописных <b>работ</b> было составление при царе Иване Грозном Никоновской летописи(получившей это название от одного из списков летописи, принадлежавшего в XVII в. патриарху Никону) и Степенной книги, дававших цельную концепцию истории русского народа.
- Это позволит усилить защиту граждан от произвола чиновников и будет способствовать эффективности <b>работы</b> госаппарата, отметил премьер ведь во многих странах административная юстиция давно зарекомендовала себя как надежное средство обеспечения деятельности административной системы в правовых рамках.
- Через пару часов, целиком углубившись в <b>работу</b>, вдруг услышала странный звук.
- Каплан составляет таинственные специи-- проявительные и закрепительные,-- и в красном полумраке палатки кипит <b>работа</b>.<hr>"	-3	"- Медицинское обслуживание граждан и система образования строятся на основе принципов социальной справедливости, доступности минимально достаточного медицинского обслуживания(бесплатного и платного), отдыха и образования для каждого, вне зависимости от имущественного положения, места проживания и <b>работы</b>.
- Но все произошло проще, чем я думал: однажды в конце марта, вернувшись домой с <b>работы</b>, я застал пустую комнату, и только в углу у окна на постеленной на пол газете были аккуратно сложены мои носильные вещи.
- А после этого, думала я, под каким-нибудь предлогом я откажусь от <b>работы</b> в ГАФКЭ.
- Съ декабря м-ца получилъ <b>работу</b> на шахтѣ«Фереджисъ»(Ст. Загорскiй Округъ, Болгарiя) Инж. Н. П. Суринъ; устроился въ качествѣ практиканта на шахтѣ«Черно Море» у Бургаса Инж. М. В. Макаровъ,-- съ декабря м-ца.
- В то же время в Конном центре добровольчество составляет неотъемлемое и необходимое условие <b>работы</b>, так как за счет него на регулярной основе восполняются недостающие ресурсы.<hr>"	too broad definition
работа	действие по значению гл. работать ; совокупность действий, связанных с выполнением какой-либо работы	"- Медицинское обслуживание граждан и система образования строятся на основе принципов социальной справедливости, доступности минимально достаточного медицинского обслуживания(бесплатного и платного), отдыха и образования для каждого, вне зависимости от имущественного положения, места проживания и <b>работы</b>.
- Но все произошло проще, чем я думал: однажды в конце марта, вернувшись домой с <b>работы</b>, я застал пустую комнату, и только в углу у окна на постеленной на пол газете были аккуратно сложены мои носильные вещи.
- А после этого, думала я, под каким-нибудь предлогом я откажусь от <b>работы</b> в ГАФКЭ.
- Съ декабря м-ца получилъ <b>работу</b> на шахтѣ«Фереджисъ»(Ст. Загорскiй Округъ, Болгарiя) Инж. Н. П. Суринъ; устроился въ качествѣ практиканта на шахтѣ«Черно Море» у Бургаса Инж. М. В. Макаровъ,-- съ декабря м-ца.
- В то же время в Конном центре добровольчество составляет неотъемлемое и необходимое условие <b>работы</b>, так как за счет него на регулярной основе восполняются недостающие ресурсы.<hr>"	0	"- В поздний час светлой ночи перегородили мы озерцо двумя связанными мережками, приткнули плот шестом к берегу и полюбовались своей <b>работой</b>: сети стояли-- лучше некуда!
- Завершением этих летописных <b>работ</b> было составление при царе Иване Грозном Никоновской летописи(получившей это название от одного из списков летописи, принадлежавшего в XVII в. патриарху Никону) и Степенной книги, дававших цельную концепцию истории русского народа.
- Это позволит усилить защиту граждан от произвола чиновников и будет способствовать эффективности <b>работы</b> госаппарата, отметил премьер ведь во многих странах административная юстиция давно зарекомендовала себя как надежное средство обеспечения деятельности административной системы в правовых рамках.
- Через пару часов, целиком углубившись в <b>работу</b>, вдруг услышала странный звук.
- Каплан составляет таинственные специи-- проявительные и закрепительные,-- и в красном полумраке палатки кипит <b>работа</b>.<hr>"	wrong meaning
